a,c,g
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063, 0.9769203218637063)"
"(0.05530034546265661, 0.07208495320644559, 0.0806397788252129, 0.0848862128374579, 0.0870576048251861, 0.0881408211479009, 0.08867682914350272, 0.08893346132078683, 0.08905494704496686, 0.08909966454422946, 0.08911024010218949, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571, 0.08911234123828571)","(0.0034119394972601524, 0.005956572117016945, 0.007843191385660586, 0.009860769661506952, 0.011641207041109936, 0.013544125833710674, 0.01724416682337837, 0.019104264072996036, 0.023532079948722306, 0.025423837603623434, 0.027235712630067854, 0.02895694292292006, 0.030602957418527588, 0.03216282970709994, 0.03364533829758076, 0.03505929906764904, 0.03639353650070265, 0.03765675896791376, 0.03885771449946518, 0.03998498348451596, 0.04104720993540856, 0.04205307933032054, 0.042990933000318976, 0.04387616839713726, 0.044696975130737004, 0.04546189868050188, 0.04375502842688339, 0.04452790827648545, 0.04525341327218435, 0.0460028170104364)","(0.9795447590952259, 0.9828207138359004, 0.982726292553038, 0.9855644446931865, 0.9880486907366427, 0.9902950519868289, 0.9922852955535899, 0.9941407260577643, 0.9957178055861994, 0.9971309067995662, 1.001848723458118, 1.003136077918631, 1.004233488063614, 1.0052234939268154, 1.0060888444784564, 1.0069275071769588, 1.007603682770502, 1.0082166954747886, 1.0087219739007776, 1.0133595495219807, 1.0138640304469495, 1.0143446753779684, 1.0146994441215278, 1.0151169240103806, 1.0154124711597579, 1.0156688690644258, 1.0158409910297104, 1.016083970878385, 1.0161999064552538, 1.0163052680730027)"
"(0.11675237400811955, 0.14843612813439488, 0.16358352313605629, 0.17085457319286412, 0.1743588934943201, 0.17600101845780713, 0.1767780059148274, 0.17712661503566718, 0.17725738774207578, 0.17729419556589754, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718, 0.17730236501861718)","(0.008345015704931624, 0.013016465615015904, 0.02231123562204107, 0.03129481630612185, 0.041462437846514155, 0.047066526513081186, 0.057535938755612914, 0.06256053993174171, 0.06712429196040537, 0.06642617797411265, 0.0702890200051105, 0.07405113361009685, 0.07730027927750127, 0.08042977035037202, 0.0831121688017451, 0.08567380906300914, 0.0839552972391856, 0.08623656373260424, 0.08846604384228407, 0.09049692504815543, 0.09234420640240126, 0.09390558957842499, 0.09539415956171637, 0.0935790686180552, 0.09516671267801124, 0.09662409736225974, 0.09796283617438617, 0.09917179623811923, 0.10026241439347527, 0.10123853434788355)","(0.9838708976166944, 0.991288824259383, 0.9951137799260064, 1.00110734081017, 1.0061922914422856, 1.0106276719489058, 1.0177643931563445, 1.0214737938337253, 1.0245612174523213, 1.0272742030340325, 1.0296040761163043, 1.0317307350259544, 1.0377889165196694, 1.0395969733926045, 1.0411232076848829, 1.0425985505308903, 1.0483556672750116, 1.049655478861219, 1.0507033285785279, 1.0517922074244115, 1.0525722225428609, 1.0532995084583663, 1.0537626974164598, 1.0543613785635078, 1.0604902828512484, 1.0610093761101054, 1.0613460053553951, 1.0618488375514354, 1.0620563077167084, 1.0622528307740406)"
"(0.17992326716382845, 0.22392997785211666, 0.2457228160605034, 0.2557957260769417, 0.2603382840973856, 0.2623377948992749, 0.2632023778044905, 0.26354177937273704, 0.263667231396016, 0.2636894862178929, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538, 0.2636927678408538)","(0.01592673643639153, 0.03155013390636807, 0.052587422724499566, 0.07026841378821924, 0.08132206682530185, 0.0911563930543835, 0.09984766406126533, 0.10744409908812225, 0.1083260471895664, 0.11464898064143414, 0.12024305401722923, 0.12538655824285883, 0.12958693378545583, 0.1289097504269785, 0.13283413978834036, 0.13648830885487895, 0.13948253277070188, 0.13803558548305095, 0.1412483611160965, 0.1441102315024817, 0.14664273775075742, 0.14870704303923044, 0.1506207680097661, 0.14923319448786077, 0.15142492465991808, 0.15339495246577595, 0.15513380106157493, 0.1566656973300634, 0.1579806949712491, 0.15910323232188672)","(0.9928848786868382, 1.0025282494691847, 1.013244184802712, 1.02258509266944, 1.0303437073553945, 1.0369673634865315, 1.042492211821406, 1.0514657008991084, 1.0558689275700839, 1.0596396920981372, 1.067306072112968, 1.0707150756376786, 1.0734424307429513, 1.075775152996858, 1.0830216040912355, 1.0853911901333855, 1.087141177058274, 1.0886908262356652, 1.0898342553340066, 1.0974130701483547, 1.0986117161114684, 1.0997366387015692, 1.1004178012854582, 1.101346313769851, 1.1018272790272405, 1.1095523563634286, 1.1100274534169385, 1.1108056741301022, 1.1110664198964133, 1.11132259186055)"
"(0.245910606490769, 0.30503531261145245, 0.3310961891411637, 0.34223794303503663, 0.3469327166653233, 0.34884412548944344, 0.34959523407614945, 0.34985575120218027, 0.34993221697376065, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115, 0.3499441982448115)","(0.030038476178569584, 0.05861469683887921, 0.09147163823470839, 0.10970044535358314, 0.12463179647450795, 0.13111951550954704, 0.14302119593176643, 0.15317963456370687, 0.16169175277455916, 0.16358671926137625, 0.17086455340919882, 0.17733258866713797, 0.1823982803645463, 0.18302675302570526, 0.18789874736109802, 0.1922666269846125, 0.19147608205733857, 0.19565358856229798, 0.19954997954930798, 0.20288925580419226, 0.20569254728783137, 0.20438882211538145, 0.207628915323678, 0.21047994138767823, 0.212954117432688, 0.2150637174999278, 0.21683088001206186, 0.2182484230499967, 0.2176549561742157, 0.21991081034625626)","(1.001151097436543, 1.016397005754878, 1.0312093238025783, 1.0434384831735382, 1.0569807074049897, 1.065568809105651, 1.0725058168501016, 1.0837020235355304, 1.0890628215112852, 1.0934891898785128, 1.1032482301670532, 1.1072207846508824, 1.1163518236254155, 1.1196264085657546, 1.1221917546950595, 1.1247392785006505, 1.1336510390733696, 1.1357834748038973, 1.1373111798340438, 1.1390294870060673, 1.1478953876945968, 1.14943386115601, 1.150292445980952, 1.151568395225168, 1.1521470888275773, 1.1525531569418659, 1.1621556150022347, 1.1632239176283512, 1.163465814539154, 1.1637414719776231)"
"(0.31689363025982953, 0.38501844505173466, 0.4145192661425696, 0.4263578257967273, 0.4309550943860243, 0.43268850910876555, 0.43328872117989903, 0.4334899981686622, 0.4335452448778412, 0.4335546475950194, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283, 0.43355472706199283)","(0.05856663404253126, 0.10514043536699758, 0.13279299857912563, 0.1560674314269861, 0.167388537185842, 0.18372812832666507, 0.19151036151296408, 0.2038940661369535, 0.21378933229804664, 0.21795871309623305, 0.22644074208442522, 0.23357833501265746, 0.23546533620201715, 0.24227026690223163, 0.2475208401022102, 0.2481515094087844, 0.25386531869854856, 0.25839907166977716, 0.2623970193581854, 0.26555861834632133, 0.2662124331234649, 0.2701167866293507, 0.2734271771842548, 0.2761528962477001, 0.27831392212412476, 0.2780344682914405, 0.2810766636803589, 0.28371610847235285, 0.28594309844414034, 0.2879306641482132)","(1.0117058974163788, 1.0353785257176267, 1.054333581183993, 1.073166942915242, 1.0858069993266166, 1.095919898097847, 1.1096016450820558, 1.1174492785478225, 1.129588620609799, 1.1354371063049038, 1.1466460439511275, 1.1518993351365596, 1.155820506643262, 1.1589603473580745, 1.1698454238488858, 1.1732015422654782, 1.1753043898172257, 1.1861344557481504, 1.1880307505822563, 1.1902679088184664, 1.1913993361157909, 1.2026870043797107, 1.2036732685157836, 1.2052871248397785, 1.2059048473975675, 1.206298096041689, 1.2060805778816786, 1.2190678881900137, 1.2192278826808247, 1.219441242360168)"
"(0.3882064769104403, 0.46687566123878366, 0.49746285760207964, 0.5089801318829803, 0.5129478128798546, 0.5142865696246943, 0.514699382982311, 0.5148225525248202, 0.5148569431685903, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433, 0.5148580146744433)","(0.08555930404050438, 0.13711636642403002, 0.1718504642403169, 0.200002883110731, 0.21504080275844106, 0.22751408099369175, 0.2451076048610039, 0.2588916990465351, 0.26579179855616486, 0.27707884949915473, 0.28580588144627095, 0.29051470805992374, 0.29858488371124214, 0.3052487590172821, 0.3079872405478964, 0.31492809129001287, 0.32050276011036927, 0.3245359372239963, 0.3266050293258619, 0.3318405169994353, 0.3361356662831113, 0.33950809674322857, 0.34201380344689125, 0.3435361863460643, 0.34734152416616626, 0.3507422653393003, 0.3532500726942108, 0.35514487456276667, 0.35569447651110164, 0.35887284146461496)","(1.0242812050782453, 1.0566216072196573, 1.0795369792450193, 1.1018866982151785, 1.1162611044625066, 1.133593257851476, 1.1435144522768668, 1.1591793789553584, 1.1664450799321997, 1.1804278886536705, 1.1861596147904407, 1.1997081166840105, 1.204631747436579, 1.208465604271013, 1.2207411700989148, 1.2250003461866, 1.2275012662878633, 1.2401181771062488, 1.2423026560175232, 1.245098098502484, 1.2463370374230833, 1.2474062703979605, 1.2605397748407048, 1.2624886965602298, 1.263056395408765, 1.263319713331708, 1.2627766225811639, 1.2632052711327344, 1.2785453322132212, 1.2786420468692488)"
"(0.463745207000537, 0.547350245479767, 0.5784749769378452, 0.5895124273733341, 0.5929269162538242, 0.5939488318051582, 0.5942563762850295, 0.5943355099290439, 0.5943516883493638, 0.5943529961470366, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214, 0.5943530543854214)","(0.11804523380001819, 0.1736642437893623, 0.2155571639691134, 0.2406326891470315, 0.26715407813922465, 0.28375117646078274, 0.30286312103700386, 0.3134698951318715, 0.328256033574051, 0.33919796446731043, 0.34667627717866245, 0.35706645637695344, 0.3611165413579426, 0.3705252399979214, 0.37851189333213153, 0.38447628477385953, 0.38801371591620526, 0.39498169149703577, 0.40049852502880523, 0.40462151680143765, 0.4059125944475658, 0.411941008855892, 0.41647915942790814, 0.42005053102256096, 0.42268250240060545, 0.4240953514038879, 0.42878971294554336, 0.4323468373886845, 0.43552068336554295, 0.43771569542341515)","(1.0416009695937092, 1.0800552355689836, 1.1064205715241804, 1.1322331302486297, 1.1541078641607732, 1.167575423895888, 1.1860577413295224, 1.2039619125801064, 1.2128390695078843, 1.2285772023780814, 1.235456277714457, 1.2508250260810598, 1.2567584717162072, 1.2612914680650327, 1.2752173197784993, 1.2804951887901355, 1.2833435843893646, 1.2855461276618827, 1.3001644400795336, 1.3034927098650422, 1.3047361651474512, 1.3057607055811447, 1.3052079016899472, 1.3234571217847497, 1.3237910324488502, 1.3238443405463403, 1.322754428249516, 1.3230586965753517, 1.3212617329502945, 1.341061231476892)"
"(0.5393451480570537, 0.6301631553680691, 0.6604932889672801, 0.6698837885739577, 0.6724518472853154, 0.6731258494927541, 0.6733007447213346, 0.6733469470711428, 0.6733630020718371, 0.6733636188529166, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241, 0.6733636282506241)","(0.15790410545321854, 0.21504999719585394, 0.26356617825540285, 0.2942284928376936, 0.3173812565191796, 0.34414991679207474, 0.35972012595319436, 0.37906310770859575, 0.3927141464002646, 0.4044317767589507, 0.4160709361089663, 0.4241129769713953, 0.4357183380628519, 0.44379208321513974, 0.4492001641759199, 0.4585697596775872, 0.46577930818425284, 0.4708622985983727, 0.47495984926881085, 0.4818571647124398, 0.4872480691554134, 0.49146449606963405, 0.4936340548555398, 0.4994915251913261, 0.5047523235877185, 0.508497898257253, 0.5114708391981004, 0.5131729154979139, 0.5162147119725821, 0.5207027751152681)","(1.0608152990733206, 1.1054377093351673, 1.140120775809748, 1.1697197533822794, 1.188076783806062, 1.2107376434527892, 1.2316921886517294, 1.2518583184432397, 1.2623839004097754, 1.2704724648759227, 1.2880391426700744, 1.2953697179413761, 1.3126450894357162, 1.3178476132602126, 1.3208273229429792, 1.339678324645737, 1.3427129282094035, 1.345033026717864, 1.3454929173527248, 1.3657837621714557, 1.3668033934337378, 1.367643783092788, 1.3664641925723526, 1.3668799911655078, 1.3879044556567723, 1.3875225404372191, 1.3856326584018304, 1.3856995602794717, 1.3829079242025968, 1.3804884025161195)"
"(0.6175898522682814, 0.7114818527106523, 0.7390422476996132, 0.7466560522325878, 0.7484827207114213, 0.7489045648045307, 0.7490069167278897, 0.7490245625256833, 0.749027284932855, 0.749029863138511, 0.7490298911032927, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028, 0.7490298913017028)","(0.19296911663158445, 0.26126660929669354, 0.31493311222679776, 0.3514339503515981, 0.38025577995467286, 0.4011274900338384, 0.42830192234296893, 0.4418005972017349, 0.46142680888320786, 0.4718609791010112, 0.4883898925113509, 0.5014959186832358, 0.5082033593835628, 0.5212047231170013, 0.5309444297809268, 0.5375059648763044, 0.5448977632270303, 0.5533744227831633, 0.5596253808162769, 0.5637253841139523, 0.5704232679436185, 0.5771528585107577, 0.5827951530486017, 0.5863678118918494, 0.5886193413201499, 0.5943563465805105, 0.5999292759438338, 0.6038019474127151, 0.6069927358191686, 0.6089415902060838)","(1.084782492543307, 1.1323079124928879, 1.1707442996599315, 1.203700907292357, 1.231492039692281, 1.2569951085330526, 1.2804384510129305, 1.294479201061766, 1.3153081859964677, 1.3246586351449656, 1.344273824935303, 1.3529513223701373, 1.3721557916918958, 1.3779946148311402, 1.3809015959907343, 1.4029611662023265, 1.4060177224933048, 1.4081950451484226, 1.4081672177962647, 1.4317920166985696, 1.4323313473681636, 1.4327928062464883, 1.4306147115404695, 1.4306872558945716, 1.455025996775993, 1.4539818951788595, 1.4509717167225045, 1.4506561528937052, 1.4464908771603757, 1.4428037149276896)"
"(0.6962314621001475, 0.79160419032854, 0.8167629163496795, 0.822536496010577, 0.8237522098315653, 0.8239939690416636, 0.8240531309051198, 0.8240605249685888, 0.8240720077619068, 0.824072166584255, 0.8240721774653545, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059)","(0.23221095488972254, 0.3119404771911638, 0.3651294093271308, 0.4070419819901512, 0.4450322566223406, 0.4727046907250574, 0.4939050684931301, 0.5183810788601777, 0.5333353455709028, 0.5540824838932027, 0.5673235645229732, 0.5804950002715502, 0.5944031414895156, 0.6035327526683413, 0.6133272243855213, 0.6243074328828179, 0.6324584726431689, 0.6375122084281861, 0.6485304383296084, 0.6561494782879522, 0.6619444177282781, 0.6648927776107345, 0.6730121716316605, 0.6801840644529861, 0.6849846715696791, 0.6885828851298516, 0.6911400830783971, 0.6982849943133569, 0.7041100008806791, 0.7086304627140041)","(1.1081275437503357, 1.1661376769718614, 1.2095430950443316, 1.2468511694461477, 1.2781455906209889, 1.3063249336896825, 1.3324350728903387, 1.3488386293584391, 1.3720832139874153, 1.3825718921373427, 1.4040530426177962, 1.4142485246482361, 1.419048970435895, 1.4420729001990396, 1.4446536933631962, 1.4495798910134259, 1.4730631458219081, 1.4748154094694004, 1.4738944852700997, 1.475074135613273, 1.5008917461977367, 1.5007408459122984, 1.4971793234942736, 1.4967045310644382, 1.4918453675262906, 1.5232184428064537, 1.518504597102203, 1.5176146762270115, 1.51147243583558, 1.5061560300982175)"
"(0.7755587274356257, 0.8693348189587322, 0.8897654025268622, 0.8934172263572133, 0.8940526464147283, 0.8941644332362304, 0.8941785511848188, 0.8942004116166764, 0.8942006750207105, 0.8942007027013044, 0.8942007042587892, 0.8942007042813263, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134)","(0.27542609072537017, 0.3659225297666482, 0.4260454202172502, 0.4746252276873313, 0.5120245734816922, 0.5398090071756925, 0.5731455095384139, 0.593355824913154, 0.618019283234522, 0.6322156524875139, 0.6532897358679756, 0.6672891886592208, 0.6800376649897469, 0.6945781512827099, 0.7042081257424203, 0.7133735862923309, 0.7268348780580824, 0.7355069444369153, 0.741219779452885, 0.7501454943454485, 0.7590736198246343, 0.7664147016232091, 0.7709444014644257, 0.776371162351605, 0.7853039952189591, 0.792249858213766, 0.7972789984345208, 0.8003669020581081, 0.8015756177705371, 0.8100111009739842)","(1.13308256895802, 1.1965209847933835, 1.2508464586111543, 1.29324017883806, 1.3278801549194703, 1.3590488121764182, 1.3770452490289142, 1.4071266390413142, 1.4324463946273478, 1.4442428408424706, 1.4677759268391781, 1.4796947949938593, 1.4842783462906102, 1.5100094035285792, 1.5119029693697896, 1.5171890483096906, 1.5434334364143545, 1.5444103159656661, 1.5422279368143106, 1.5429145378453748, 1.5726528312789794, 1.5713101872759583, 1.5658959402400057, 1.56442427939257, 1.5573614887749632, 1.5502498240346423, 1.5869027785491323, 1.5849649662955965, 1.5764167890578278, 1.5687080830952242)"
"(0.8546515724627444, 0.9440431858876663, 0.960758001293827, 0.9633938277047389, 0.9637959517974473, 0.9638570442257741, 0.9638724835605332, 0.9638735321924452, 0.9638736737276119, 0.9638736909752446, 0.9638736926428839, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693)","(0.32192249542624507, 0.41360626501852715, 0.48714356987978435, 0.5403251894453527, 0.5855775723874483, 0.6221335919643338, 0.6500985148891644, 0.6799605494534949, 0.701949633792245, 0.7252016678556824, 0.7387897878307764, 0.7599240592139213, 0.7746624267979213, 0.7867957688394622, 0.8038823792319578, 0.8141802789493335, 0.820229562676937, 0.8353931197629337, 0.8463170406306751, 0.8530380995598962, 0.8599859412289528, 0.8716914618432277, 0.8805130675790438, 0.8864145506057901, 0.8894951310448496, 0.8968095755468296, 0.9072216676237829, 0.9138266233593485, 0.9184970835486136, 0.9213240346456798)","(1.1636033489062156, 1.2354487119532622, 1.29507725677947, 1.34288605506935, 1.3810381469317228, 1.4029478677386793, 1.4356269495253196, 1.4692634165996934, 1.4800130109550838, 1.5099411972110077, 1.515377186648584, 1.5487429159918376, 1.552767516241912, 1.5535769155875097, 1.5821659454798258, 1.5874462255593011, 1.5835022572981754, 1.6168762269265042, 1.6130050207505928, 1.612652127635188, 1.604196195646142, 1.6435145201552976, 1.6353300699521687, 1.632434711405206, 1.622457030556812, 1.6121652779445164, 1.598428535913074, 1.6510118289986568, 1.6390547682034087, 1.6281280292196643)"
"(0.9330391834067018, 1.0153794525905941, 1.027327824593411, 1.02877535289781, 1.0289439242671086, 1.028961249167775, 1.0289630562593421, 1.0289632494310927, 1.0289632689131043, 1.0289632706786924, 1.028963270804784, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202)","(0.3652640706215582, 0.4774192257316775, 0.5576467962277725, 0.6178486487992523, 0.6657719694472248, 0.7039828879046307, 0.7385284324916738, 0.7693974439086749, 0.7948686803078969, 0.8183957784598378, 0.8396956877864529, 0.8569879270441405, 0.8776202104783306, 0.8909184919366295, 0.9029379985747817, 0.9208579747997071, 0.931562817859605, 0.9382335176180789, 0.9547702254964756, 0.9670095844731434, 0.9749909905666898, 0.9786895878814479, 0.992534512069034, 1.0029313557452948, 1.0104928699523952, 1.015234067446705, 1.0172642092027733, 1.0269435224756247, 1.0374350413995814, 1.043385045267418)","(1.1923308489456386, 1.2771608218093107, 1.334234264150182, 1.3959922383517867, 1.4247365055752763, 1.462124648334717, 1.4976917881511023, 1.53543140838092, 1.5465028168499033, 1.5792618737003794, 1.5835513773091792, 1.6213998023079867, 1.6243483329300001, 1.6233211604720865, 1.655482440455467, 1.660480015902606, 1.6537785033918464, 1.6913398593689415, 1.6848002290551591, 1.6829068721604672, 1.6702684427155312, 1.659478455245598, 1.6426603094590067, 1.6987711110999513, 1.684623965272685, 1.670039244911925, 1.6517053318629578, 1.6413978691259101, 1.621327751062926, 1.6027634283823333)"
"(1.0100745697630646, 1.083175494563649, 1.0917242124564184, 1.092565650022392, 1.0926447843703437, 1.0926518793279452, 1.0926525731453345, 1.0926526393665315, 1.0926568104790548, 1.0926568110639412, 1.0926568111141823, 1.092656811117613, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712)","(0.42119400624948233, 0.5408394276339252, 0.6308412139374877, 0.6936598409384103, 0.7459871009000093, 0.7940429278141105, 0.8327585775866587, 0.8611145763521219, 0.8957265919975527, 0.9143848564666743, 0.9444555558461587, 0.9651749056993977, 0.97829647091861, 1.0015619611506996, 1.0156955616909005, 1.0293401696162041, 1.048251859374654, 1.060834036058331, 1.0670543126788725, 1.0827565399003962, 1.096510422548468, 1.1060708679550726, 1.11203124427594, 1.1124431887050572, 1.133323958509533, 1.1419242620423065, 1.149627968501532, 1.1524774333437504, 1.152587043967499, 1.1770914026182093)","(1.2277769490657038, 1.3218460237068028, 1.3849343211205147, 1.4406280508624651, 1.484333985933359, 1.5250594427182114, 1.5636275409972018, 1.6056033637404004, 1.6161899104335404, 1.6524157030580633, 1.6547044483211157, 1.6980726646058266, 1.6991957528500878, 1.694950178411604, 1.7305326886101364, 1.7349254560826555, 1.7238769557303015, 1.710894571047775, 1.6936044406227158, 1.7517541662740368, 1.7334545274737425, 1.718034806724899, 1.6955214449604887, 1.681502711937541, 1.6574025091049989, 1.6331057840220036, 1.605350119567707, 1.5874849898665615, 1.5589725027566979, 1.5327108208093967)"
